Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
Masha Allah Hot And Cool Point,4.0,Shivajinagar,Fast Food,2000,bengaluru,10,700.00,1300.00
Tipsy Cafe,4.0,Shivajinagar,Fast Food,2000,bengaluru,10,700.00,1300.00
Shahi Restaurant,3.0,Shivajinagar,Multicuisine,2000,bengaluru,10,700.00,1300.00
Main Lassi Shop,1.0,Shivajinagar,Multicuisine,2000,bengaluru,10,700.00,1300.00
Maggi Baba,5.0,Shivajinagar,Beverages,2000,bengaluru,0,0.00,2000.00
Romeo Cafe,4.0,Shivajinagar,Multicuisine,2000,bengaluru,0,0.00,2000.00
Dindigul Thalappakatti,5.0,MG Road,Multicuisine,950,bengaluru,0,0.00,950.00
Trippy Goat Cafe,4.3,Vasanth Nagar,"Coffee and Tea, European",2000,bengaluru,10,700.00,1300.00
The Biere Club,4.4,Lavelle Road,"Cocktail Menu, Multicuisine",2000,bengaluru,40,1300.00,700.00
Hatti Kaapi,5.0,Infantry Road,Multicuisine,400,bengaluru,10,140.00,260.00
Flo,3.4,Church Street,"Multicuisine, Cocktail Menu",2000,bengaluru,45,1400.00,600.00
Juliana's,5.0,Infantry Road,"European, Pan Asian, Continental",1400,bengaluru,0,0.00,1400.00
SkyDeck By Sherlock's,4.1,MG Road,Multicuisine,2000,bengaluru,25,1000.00,1000.00
Vapour Pub & Brewery,3.9,100 Feet Road,Multicuisine,2000,bengaluru,50,1500.00,500.00
Lumara Bar & Kitchen,4.3,Old Madras Road,Multicuisine,2500,bengaluru,20,1125.00,1375.00
Burnout Cafe,3.9,Infantry Road,"Chinese, Multicuisine, Continental",2000,bengaluru,20,900.00,1100.00
Punjab Grill,4.2,Ashok Nagar,North Indian,2000,bengaluru,25,1000.00,1000.00
Rolls On Wheels,4.0,Cunningham Road,"Chinese, Fast Food",500,bengaluru,15,200.00,300.00
Arbor Brewing Company,4.4,Brigade Road,Multicuisine,1800,bengaluru,0,0.00,1800.00
Bazaar,4.0,Zone By The Park Infantry Bengaluru,Multicuisine,2500,bengaluru,10,875.00,1625.00
Café Azzure,4.2,MG Road,European,2000,bengaluru,20,900.00,1100.00
Nothing Before Coffee,4.0,Richmond Town,Cafe,2000,bengaluru,20,900.00,1100.00
Raahi Neo Kitchen & Bar,4.5,Ashok Nagar,Indian,2500,bengaluru,50,1875.00,625.00
By Chance,4.4,Brigade Road,Multicuisine,1500,bengaluru,50,1125.00,375.00
Tiamo,4.4,Conrad Bengaluru,Multicuisine,2250,bengaluru,20,1012.50,1237.50
Aqua,3.7,The Park,Multicuisine,2500,bengaluru,30,1375.00,1125.00
Kari Theory,3.9,Radisson Bengaluru City Center,"Cocktail Menu, Multicuisine",2500,bengaluru,50,1875.00,625.00
ShakesBierre,4.4,MG Road,"Cocktail Menu, Multicuisine",2000,bengaluru,30,1100.00,900.00
Levista Gourmet Studio,5.0,Church Street,American,2000,bengaluru,30,1100.00,900.00
Barista Coffee,4.4,Sadashiv Nagar,"Cafe, Coffee",2000,bengaluru,40,1300.00,700.00
Muro India,4.5,Museum Road,"Thai, Cantonese",5000,bengaluru,0,0.00,5000.00
Kake Di Hatti,5.0,Brigade Road,North Indian,2000,bengaluru,15,800.00,1200.00
Zodiac - The Fortune Palace,4.0,Fortune Select JP Cosmos,Multicuisine,1800,bengaluru,40,1170.00,630.00
SMOOR,4.4,Lavelle Road,European,2000,bengaluru,10,700.00,1300.00
JW Kitchen,4.4,JW Marriott,Multicuisine,2500,bengaluru,50,1875.00,625.00
Monsoon,3.8,The Park,Multicuisine,2000,bengaluru,30,1100.00,900.00
The Brew Factory - Brewery Pub & Kitchen,4.5,Peenya,Multicuisine,2000,bengaluru,30,1100.00,900.00
Blah Bla (Indigo XP),3.9,Koramangala,Multicuisine,2000,bengaluru,50,1500.00,500.00
Ging,4.3,Royal Orchid Central,"oriental, Cocktail Menu",2500,bengaluru,25,1250.00,1250.00
Maayaa,4.4,The Courtyard by Sublime,South Indian,2000,bengaluru,50,1500.00,500.00
Hatti Kaapi - Signature,5.0,Lavelle Road,Multicuisine,600,bengaluru,10,210.00,390.00
Matsuri,4.6,The Chancery Hotel,"Japanese, Sushi",2000,bengaluru,15,800.00,1200.00
"Anthara - Taproom, Cafe & Kitchen",5.0,Doddanekkundi,"American, French",800,bengaluru,30,440.00,360.00
No Limmits Lounge & Club,3.5,Brigade Road,Multicuisine,2000,bengaluru,40,1300.00,700.00
Sharief Bhai Biryani,4.4,Frazer Town,Hyderabadi,2000,bengaluru,15,800.00,1200.00
The Golden Circle Brewery,4.1,Doddakannelli,Multicuisine,2000,bengaluru,25,1000.00,1000.00
Sozo Skyline Dining,4.3,Ashok Nagar,"Cocktail Menu, Pan Asian",2000,bengaluru,25,1000.00,1000.00
Hard Rock Cafe,4.5,St. Marks Road,"Multicuisine, Burgers",2500,bengaluru,20,1125.00,1375.00
Ta'aam,5.0,Cunningham Road,"Arabian, North Indian",600,bengaluru,0,0.00,600.00
The Kabab Studio,3.9,Goldfinch Hotel,North Indian,2000,bengaluru,50,1500.00,500.00
Kling Brewery,4.4,Church Street,Multicuisine,2000,bengaluru,10,700.00,1300.00
Be Luru Craft Kitchen & Bar,3.7,Sankey Road,"Indian, Asian",2000,bengaluru,50,1500.00,500.00
Sanchez & Sriracha,4.2,UB City,Mexican,2000,bengaluru,10,700.00,1300.00
New Kudla Family Restaurant,4.0,MG Road,"North Indian, Chinese",2000,bengaluru,50,1500.00,500.00
Monarch Cafe,4.0,Infantry Road,Multicuisine,2000,bengaluru,0,0.00,2000.00
Cafe Adams,4.0,Shivajinagar,European,2000,bengaluru,0,0.00,2000.00
Ihmiets Momos,4.0,Old Madras Road,Momos,2000,bengaluru,50,1500.00,500.00
CBD Central Bar District,5.0,MSR Nagar,Multicuisine,1200,bengaluru,20,540.00,660.00
Zest,4.7,Southern Star,Multicuisine,2000,bengaluru,0,500.00,1500.00
High Ultra Lounge,4.3,Sheraton Grand Bangalore at Brigade Gateway,Multicuisine,2000,bengaluru,50,1500.00,500.00
Don't Tell Mama,4.1,HSR,Multicuisine,2000,bengaluru,50,1500.00,500.00
Dishkeyaun,4.1,Forum Rex Walk,"Indian, Fusion, Asian",2000,bengaluru,30,1100.00,900.00
Foo Brigade Road,4.5,Brigade Road,"Chinese, Pan Asian, Asian",2500,bengaluru,0,625.00,1875.00
Blanc The Coffee Place,5.0,Gandhi Nagar,European,1000,bengaluru,30,550.00,450.00
Gatsby,4.4,Bannerghatta Road,Multicuisine,2000,bengaluru,25,1000.00,1000.00
Smoke House Deli,4.4,Lavelle Road,European,2000,bengaluru,20,900.00,1100.00
The Market,4.5,The Ritz-Carlton,"All Day Dining, Multicuisine",4000,bengaluru,30,2200.00,1800.00
Vapour Brewpub & Diner,4.4,Sarjapur Road,Multicuisine,2000,bengaluru,50,1500.00,500.00
Caraway Kitchen,4.4,Conrad Bengaluru,Multicuisine,2800,bengaluru,15,1120.00,1680.00
"Salt - Pan Indian Restaurant, Bar & Grill",4.3,UB City,"Indian, Cocktail Menu",2000,bengaluru,10,700.00,1300.00
The Big Barbeque,3.9,Marathahalli,"Barbeque, Multicuisine",2000,bengaluru,0,0.00,2000.00
Barbecue by Punjab Grill,4.0,Mantri Square,"Beverages, Finger Food, Biryani",2000,bengaluru,30,1100.00,900.00
Pinxx,4.2,Royal Orchid Central,Multicuisine,2400,bengaluru,25,1200.00,1200.00
Church Street Social,4.2,Church Street,Multicuisine,2000,bengaluru,20,900.00,1100.00
LIT Gastropub,3.9,Church Street,Multicuisine,2000,bengaluru,20,900.00,1100.00
Coffee Brew Hub,4.0,Residency Road,Multicuisine,1000,bengaluru,10,350.00,650.00
Alchemy,4.5,The Chancery Pavilion,"Indian, Fusion",2500,bengaluru,20,1125.00,1375.00
Alba,4.1,JW Marriott,Italian,3500,bengaluru,20,1575.00,1925.00
Street Storyss,5.0,Brigade Road,Multicuisine,1500,bengaluru,10,525.00,975.00
SodaBottleOpenerWala,4.4,Lavelle Road,Parsi,2000,bengaluru,15,800.00,1200.00
The Rice Bowl,4.3,Southern Star,"Chinese, Asian",1500,bengaluru,10,525.00,975.00
Gufha Restaurant,4.6,Guttahalli,Multicuisine,2000,bengaluru,10,700.00,1300.00
Indian Durbar,4.4,Conrad Bengaluru,"Indian, North Indian",3000,bengaluru,15,1200.00,1800.00
Zodiac,4.2,Fortune Select JP Cosmos,Multicuisine,2000,bengaluru,25,1000.00,1000.00
Easy Tiger,4.2,Church Street,"Cocktail Menu, American",2000,bengaluru,20,900.00,1100.00
Sana-Di-Ge,4.4,Goldfinch Hotel,"Biryani, Seafood, Regional Indian",2000,bengaluru,30,1100.00,900.00
Scottish Pub,4.9,St. Marks Road,Multicuisine,2000,bengaluru,20,900.00,1100.00
Wow! China,4.0,Church Street,Chinese,2000,bengaluru,30,1100.00,900.00
KA 01 - Rooftop Bar & Eats,4.4,Ibis Hotel,"Indian, Cocktail Menu",2000,bengaluru,50,1500.00,500.00
Kenzai - Asian Kitchen And Lounge,4.6,Brigade Road,Asian,2000,bengaluru,25,1000.00,1000.00
Cahoots Classic Bar House,5.0,Brigade Road,Multicuisine,4000,bengaluru,10,1400.00,2600.00
i-Bar,3.8,The Park,Cocktail Menu,2000,bengaluru,30,1100.00,900.00
Sea Rock Family Restaurant & Bar,4.7,Seshadripuram,Multicuisine,2000,bengaluru,10,700.00,1300.00
Badmaash UB City,4.3,UB City,Indian,2000,bengaluru,25,1000.00,1000.00
