Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
Soul Brewing Company,4.0,Hotel Imperial,Multicuisine,2000,jaipur,0,0.00,2000.00
Thali and More,4.4,C Scheme,North Indian,600,jaipur,0,0.00,600.00
Mosaic,4.3,Radisson Jaipur City Center,"Cocktail Menu, Multicuisine",1500,jaipur,25,750.00,750.00
PURGATORY 777,3.4,Ashok Nagar,"Casual Eclectic, Multicuisine",2000,jaipur,40,1300.00,700.00
Sapphire,4.0,Shahpura House,Multicuisine,2000,jaipur,35,1200.00,800.00
Topaz Restaurant - FineDine & Skydeck,4.8,MI Road,Multicuisine,900,jaipur,30,495.00,405.00
The Swinton House,4.2,The Swinton House,Multicuisine,1800,jaipur,20,810.00,990.00
Clock Tower,4.4,Moti Doongri Rd,"North Indian, Continental, Chinese, Italian",2700,jaipur,15,1080.00,1620.00
OTH - On The House,4.5,C Scheme,Multicuisine,1100,jaipur,10,385.00,715.00
Skyza,4.3,C Scheme,"Cocktail Menu, Multicuisine",1200,jaipur,20,540.00,660.00
Tan-Sukh,4.4,C Scheme,Multicuisine,800,jaipur,20,360.00,440.00
Chawla's MI Road (Since 1960),4.0,MI Road,Multicuisine,1500,jaipur,20,675.00,825.00
The Baradari,4.4,Pink City,Multicuisine,2000,jaipur,10,700.00,1300.00
Rustic by OTH,3.0,C Scheme,"Chinese, Continental",1000,jaipur,15,400.00,600.00
The Great Kabab Factory,4.5,Radisson Jaipur City Center,"Cocktail Menu, Mughlai",1700,jaipur,25,850.00,850.00
14 Tables,4.5,MI Road,Multicuisine,1600,jaipur,25,800.00,800.00
Ten Kings Bar,5.0,Holiday Inn Jaipur City Centre,"Cocktail Menu, Finger Food",1800,jaipur,30,990.00,810.00
Jaipur Local,4.3,Lemon Tree Premier,Multicuisine,2000,jaipur,15,800.00,1200.00
Chaandi,4.4,Hilton Jaipur,"Indian, Cocktail Menu",3000,jaipur,25,1500.00,1500.00
Gulabi Nagari,4.2,Bani Park,"North Indian, Chinese",1200,jaipur,10,420.00,780.00
Krystal Bar,4.7,Hilton Jaipur,Cocktail Menu,2500,jaipur,25,1250.00,1250.00
Jaipur Adda,4.8,Nirwana Hometel,Modern Indian,1200,jaipur,20,540.00,660.00
Garden Grille,4.0,DoubleTree by Hilton Jaipur Amer,Barbeque,2000,jaipur,25,1000.00,1000.00
The Bakery,4.0,Holiday Inn Jaipur City Centre,Bakery,1200,jaipur,25,600.00,600.00
Paro - Modern Indian Bar,4.2,C Scheme,Indian,2000,jaipur,20,900.00,1100.00
Sangria,4.9,MI Road,"Finger Food, Multicuisine",1000,jaipur,30,550.00,450.00
Reflect - Bistro & Kitchen,4.9,C Scheme,"Cocktail Menu, Multicuisine",1400,jaipur,0,0.00,1400.00
Townsend - Bar & Kitchen,4.4,Adarsh Nagar,Multicuisine,1300,jaipur,15,520.00,780.00
Lusty Lettuce,4.0,Ashok Nagar,Continental,950,jaipur,20,427.50,522.50
Delizia,5.0,Ashok Nagar,"Continental, Desserts, Pizza, Pasta, Fusion, Coffee",600,jaipur,15,240.00,360.00
Olio Dugout with Rajasthan Royals,5.0,Lal Kothi,"Pizza, Pasta, Burgers",400,jaipur,30,220.00,180.00
The Lamppost,4.3,C Scheme,European,700,jaipur,25,350.00,350.00
Nest by Noir at Bird Park,4.8,Bani Park,Continental,900,jaipur,10,315.00,585.00
Surya Mahal,4.2,MI Road,Multicuisine,1000,jaipur,10,350.00,650.00
The Lounge,4.8,Intercontinental Jaipur,"Cocktail Menu, Multicuisine",1500,jaipur,25,750.00,750.00
Henry's The Pub,4.3,Hotel Park Prime,"Finger Food, Cocktail Menu",2000,jaipur,30,1100.00,900.00
Nebulae,4.4,Bais Godam,Multicuisine,1500,jaipur,25,750.00,750.00
Grand Chanakya,2.9,Leisure Inn Grand Chanakya,Rajasthani,1300,jaipur,30,715.00,585.00
#BC,4.2,Bani Park,Multicuisine,800,jaipur,20,360.00,440.00
Tea Affair,5.0,C Scheme,"Beverages, Fast Food",350,jaipur,10,122.50,227.50
Nouba Kitchen and Bar,4.8,C Scheme,Pan Asian,2000,jaipur,15,800.00,1200.00
Brown Sugar,4.3,Bais Godam,"Beverages, Fast Food",400,jaipur,20,180.00,220.00
Miroh,3.3,C Scheme,Multicuisine,1650,jaipur,15,660.00,990.00
The Vital Spark,4.0,Sodala,Multicuisine,800,jaipur,20,360.00,440.00
Chill - Nirwana Hometel,3.7,Nirwana Hometel,"Cocktail Menu, Finger Food",1400,jaipur,25,700.00,700.00
Oasis,4.5,C Scheme,Multicuisine,1400,jaipur,30,770.00,630.00
Sagar Ratna,4.2,C Scheme,South Indian,800,jaipur,10,280.00,520.00
Souza Lobo - Since 1932,4.3,Calangute,Goan,1300,goa,0,0.00,1300.00
Noah,3.5,Ozran Beach Road ,"European, Seafood, Sushi, Continental",1500,goa,0,0.00,1500.00
Tanjore Tiffin Room,4.7,Anjuna,"Biryani, Finger Food, South Indian, Tamil Nadu",1000,goa,0,0.00,1000.00
Clara (Beach Haven),2.3,Vagator,Multicuisine,1500,goa,0,0.00,1500.00
Farzi Beach,3.8,Morjim,Multicuisine,1500,goa,0,0.00,1500.00
Tamil Table,4.8,Assagao,Tamil Nadu,1200,goa,0,0.00,1200.00
Anar,5.0,Anjuna,Middle Eastern,2000,goa,0,0.00,2000.00
Tikitii,3.9,Morjim,Continental,2000,goa,0,0.00,2000.00
Guldastaa Cafe,4.5,Anjuna,Regional Indian,1200,goa,0,0.00,1200.00
Ederra Cafe,5.0,Panaji,Cafe,800,goa,0,0.00,800.00
Backyard Restaurant & Bar,5.0,Calangute,Multicuisine,1500,goa,10,525.00,975.00
Ole Bar,4.0,Morjim,Multicuisine,1500,goa,0,0.00,1500.00
One Calangute,3.8,Calangute,Multicuisine,1000,goa,10,350.00,650.00
Tom's Resto By The Beach,5.0,Calangute,Multicuisine,1000,goa,10,350.00,650.00
Delhi Darbar,4.6,Candolim,North Indian,800,goa,10,280.00,520.00
BunnyKins Cafe,4.0,Calangute,Multicuisine,900,goa,10,315.00,585.00
Bharat Bar & Restaurant,4.0,Baga,Multicuisine,800,goa,25,400.00,400.00
Novu Rooftop Dining,4.7,Fort Aguada Rd,Multicuisine,1200,goa,50,900.00,300.00
GROK,4.2,Hyatt Centric Candolim Goa,Goan,1200,goa,35,720.00,480.00
Bloom Cafe,4.0,Bloom Hotel ,Multicuisine,1200,goa,0,0.00,1200.00
Cafe Fika,5.0,Panaji,Cafe,1000,goa,30,550.00,450.00
Beans & Bistro,4.0,Calangute,"Cafe, Coffee",400,goa,10,140.00,260.00
Oceana Restaurant,4.0,Calangute,"Indian, Continental",1000,goa,10,350.00,650.00
Jazz Bistro,4.7,Calangute Baga Road,Multicuisine,1000,goa,0,250.00,750.00
Krishna Bar & Restaurant,4.0,Calangute,Multicuisine,550,goa,0,0.00,550.00
Spice It,5.0,ibis,Multicuisine,1000,goa,50,750.00,250.00
Purple Martini,4.1,Anjuna,Multicuisine,2500,goa,0,0.00,2500.00
