Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Merlot & co,5.0,"MI Road, Jaipur","Pan Asian, Continental",₹ 2000 for two approx.,25% Off + 25% Off
Roadhouse Bar & Grill,4.5,"Holiday Inn Jaipur City Centre, Jaipur","Burgers, Sandwiches, Finger Food, Italian",₹ 2300 for two approx.,30% Off + 25% Off
Carbon,4.4,"Ashok Nagar, Jaipur",Coffee,₹ 900 for two approx.,20% Off + 25% Off
Diwali Festive Curations @ ITC Rajputana,4.0,"ITC Rajputana Hotel, Jaipur",Mithai,₹ 3000 for two approx.,25% Off :Payeazy
The Lama,5.0,"C Scheme, Jaipur  | View All(2) Outlets",Multicuisine,₹ 800 for two approx.,25% Off :Payeazy
Lighthouse,4.2,"Gopalpura, Jaipur",Multicuisine,₹ 1200 for two approx.,30% Off + 25% Off
House of People (HOP),4.0,"Bais Godam, Jaipur",Multicuisine,₹ 1700 for two approx.,35% Off + 25% Off
Khwaab By Malana,4.8,"Tonk Road, Jaipur",Multicuisine,₹ 1300 for two approx.,20% Off + 25% Off
Blackout,3.7,"Hotel Golden Oak, Jaipur",Multicuisine,₹ 1800 for two approx.,50% Off + 25% Off
Kohhee by The Night Jar,5.0,"C Scheme, Jaipur",Multicuisine,₹ 700 for two approx.,10% Off + 25% Off
Rasa,5.0,"Bani Park, Jaipur",North Indian,₹ 2000 for two approx.,25% Off + 25% Off
Diona - Ale Works | Kitchen | Bar,4.4,"Shyam Nagar, Jaipur","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,20% Off + 25% Off
Kahanee Restaurant,3.5,"Bani Park, Jaipur",Multicuisine,₹ 1300 for two approx.,20% Off + 25% Off
B&B - Brew and Brunch,4.8,"C Scheme, Jaipur","Cafe, Coffee",₹ 700 for two approx.,25% Off + 25% Off
Latte Lounge,5.0,"Ashok Nagar, Jaipur",Multicuisine,₹ 900 for two approx.,25% Off + 25% Off
Kanha,4.2,"C Scheme, Jaipur  | View All(8) Outlets",Multicuisine,₹ 500 for two approx.,25% Off :Payeazy
Kesar Sweets,5.0,"Lal Kothi, Jaipur","Indian, Continental",₹ 700 for two approx.,15% Off + 25% Off
Pacha,4.0,"Sodala, Jaipur",Multicuisine,₹ 2000 for two approx.,15% Off + 25% Off
Bonkey's,4.4,"Jyothi Nagar, Jaipur",Italian,₹ 1100 for two approx.,10% Off + 25% Off
Tea Connect,5.0,"C Scheme, Jaipur  | View All(4) Outlets",Continental,₹ 500 for two approx.,10% Off + 25% Off
Camiano Patisserie & Brasserie,4.7,"Ashok Nagar, Jaipur",Continental,₹ 1500 for two approx.,15% Off + 25% Off
Soul Brewing Company,4.0,"Hotel Imperial,Jaipur",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Thali and More,4.4,"C Scheme, Jaipur  | View All(6) Outlets",North Indian,₹ 600 for two approx.,25% Off :Payeazy
Mosaic,4.3,"Radisson Jaipur City Center, Jaipur","Cocktail Menu, Multicuisine",₹ 1500 for two approx.,25% Off + 25% Off
PURGATORY 777,3.4,"Ashok Nagar, Jaipur","Casual Eclectic, Multicuisine",₹ 2000 for two approx.,40% Off + 25% Off
Sapphire,4.0,"Shahpura House, Jaipur",Multicuisine,₹ 2000 for two approx.,35% Off + 25% Off
Topaz Restaurant - FineDine & Skydeck,4.8,"MI Road, Jaipur",Multicuisine,₹ 900 for two approx.,30% Off + 25% Off
The Swinton House,4.2,"The Swinton House, Jaipur",Multicuisine,₹ 1800 for two approx.,20% Off + 25% Off
Clock Tower,4.4,"Moti Doongri Rd, Jaipur","North Indian, Continental, Chinese, Italian",₹ 2700 for two approx.,15% Off + 25% Off
OTH - On The House,4.5,"C Scheme, Jaipur",Multicuisine,₹ 1100 for two approx.,10% Off + 25% Off
